fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,fixture.status.extra,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,league.standings,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
1005650,Ramon Abatti,UTC,2023-04-15T21:30:00+00:00,1681594200,1681594200,1681597800,218.0,Estádio Nilton Santos,Rio de Janeiro,Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 1,True,120,Botafogo,https://media.api-sports.io/football/teams/120.png,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,2,1,1,1,2,1,,,,
1005661,Wagner do Nascimento Magalhaes,UTC,2023-04-22T21:30:00+00:00,1682199000,1682199000,1682202600,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 2,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,125,America Mineiro,https://media.api-sports.io/football/teams/125.png,False,3,0,1,0,3,0,,,,
1005676,Rafael Rodrigo Klein,UTC,2023-04-29T19:30:00+00:00,1682796600,1682796600,1682800200,230.0,Estádio Major Antônio Couto Pereira,"Curitiba, Paraná",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 3,True,147,Coritiba,https://media.api-sports.io/football/teams/147.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,1,1,1,0,1,1,,,,
1005681,Braulio da Silva Machado,UTC,2023-05-07T19:00:00+00:00,1683486000,1683486000,1683489600,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 4,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,119,Internacional,https://media.api-sports.io/football/teams/119.png,False,2,0,1,0,2,0,,,,
1005697,Paulo Cesar Zanovelli da Silva,UTC,2023-05-11T23:00:00+00:00,1683846000,1683846000,1683849600,225.0,Estádio Governador Plácido Aderaldo Castelo,"Fortaleza, Ceará",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 5,True,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,0,0,0,0,0,0,,,,
1005702,Bruno Arleu de Araujo,UTC,2023-05-14T19:00:00+00:00,1684090800,1684090800,1684094400,11531.0,Neo Química Arena,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 6,True,131,Corinthians,https://media.api-sports.io/football/teams/131.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,1,1,1,1,1,1,,,,
1005711,Leandro Vuaden,UTC,2023-05-20T21:30:00+00:00,1684618200,1684618200,1684621800,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 7,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,133,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,False,4,2,2,1,4,2,,,,
1005721,Rafael Rodrigo Klein,UTC,2023-05-28T00:00:00+00:00,1685232000,1685232000,1685235600,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 8,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,151,Goias,https://media.api-sports.io/football/teams/151.png,False,2,1,0,1,2,1,,,,
1005735,Wilton Pereira Sampaio,UTC,2023-06-04T19:00:00+00:00,1685905200,1685905200,1685908800,241.0,Arena do Grêmio,"Porto Alegre, Rio Grande do Sul",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 9,True,130,Gremio,https://media.api-sports.io/football/teams/130.png,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,2,1,2,1,2,1,,,,
1005741,Raphael Claus,UTC,2023-06-11T19:00:00+00:00,1686510000,1686510000,1686513600,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 10,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,121,Palmeiras,https://media.api-sports.io/football/teams/121.png,True,0,2,0,1,0,2,,,,
1005751,Sávio Pereira,UTC,2023-06-21T22:00:00+00:00,1687384800,1687384800,1687388400,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 11,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,134,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,False,2,1,1,1,2,1,,,,
1005764,Ramon Abatti,UTC,2023-06-25T00:00:00+00:00,1687651200,1687651200,1687654800,206.0,Estádio Raimundo Sampaio,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 12,True,135,Cruzeiro,https://media.api-sports.io/football/teams/135.png,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,1,0,1,0,1,0,,,,
1005771,Anderson Daronco,UTC,2023-07-01T19:00:00+00:00,1688238000,1688238000,1688241600,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 13,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,124,Fluminense,https://media.api-sports.io/football/teams/124.png,False,1,0,0,0,1,0,,,,
1005783,Raphael Claus,UTC,2023-07-09T19:00:00+00:00,1688929200,1688929200,1688932800,220.0,Estádio Nabi Abi Chedid,"Bragança Paulista, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 14,True,794,RB Bragantino,https://media.api-sports.io/football/teams/794.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,0,0,0,0,0,0,,,,
1005791,Braulio da Silva Machado,UTC,2023-07-16T19:00:00+00:00,1689534000,1689534000,1689537600,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 15,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,True,128,Santos,https://media.api-sports.io/football/teams/128.png,False,4,1,2,0,4,1,,,,
1005808,Bruno Mota Correia,UTC,2023-07-22T21:30:00+00:00,1690061400,1690061400,1690065000,235.0,Arena Pantanal,"Cuiabá, Mato Grosso",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 16,True,1193,Cuiaba,https://media.api-sports.io/football/teams/1193.png,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,2,1,0,0,2,1,,,,
1005811,Ramon Abatti,UTC,2023-07-30T14:00:00+00:00,1690725600,1690725600,1690729200,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 17,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,118,Bahia,https://media.api-sports.io/football/teams/118.png,,0,0,0,0,0,0,,,,
1005821,Rodrigo José Pereira de Lima,UTC,2023-08-06T19:00:00+00:00,1691348400,1691348400,1691352000,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 18,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,1062,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,True,0,2,0,1,0,2,,,,
1005829,Rafael Rodrigo Klein,UTC,2023-08-13T21:30:00+00:00,1691962200,1691962200,1691965800,,Estadio Jornalista Mário Filho,"Rio de Janeiro, Rio de Janeiro",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 19,True,127,Flamengo,https://media.api-sports.io/football/teams/127.png,,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,1,1,0,1,1,1,,,,
1005841,Ramon Abatti,UTC,2023-08-19T19:00:00+00:00,1692471600,1692471600,1692475200,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 20,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,,120,Botafogo,https://media.api-sports.io/football/teams/120.png,,0,0,0,0,0,0,,,,
1005858,Rodrigo José Pereira de Lima,UTC,2023-08-27T19:00:00+00:00,1693162800,1693162800,1693166400,206.0,Estádio Raimundo Sampaio,"Belo Horizonte, Minas Gerais",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 21,True,125,America Mineiro,https://media.api-sports.io/football/teams/125.png,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,2,1,0,0,2,1,,,,
1005875,Paulo Cesar Zanovelli da Silva,UTC,2023-09-14T00:30:00+00:00,1694651400,1694651400,1694655000,244.0,Estádio José Pinheiro Borda,"Porto Alegre, Rio Grande do Sul",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 23,True,119,Internacional,https://media.api-sports.io/football/teams/119.png,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,2,1,0,1,2,1,,,,
1005881,Yuri Elino Ferreira da Cruz,UTC,2023-09-21T00:30:00+00:00,1695256200,1695256200,1695259800,,Estádio Cícero Pompeu de Toledo,"São Paulo, São Paulo",Match Finished,FT,90,,71,Serie A,Brazil,https://media.api-sports.io/football/leagues/71.png,https://media.api-sports.io/flags/br.svg,2023,Regular Season - 24,True,126,Sao Paulo,https://media.api-sports.io/football/teams/126.png,False,154,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,True,1,2,0,1,1,2,,,,
